node_id,type,species
1,host,Apodemus_agrarius
2,host,Apodemus_peninsulae
3,host,Arvicola_terrestris
4,host,Asioscalops_altaica
5,host,Cricetus_cricetus
6,host,Eutamias_sibiricus
7,host,Microtus_agrestis
8,host,Microtus_arvalis
9,host,Microtus_gregalis
10,host,Microtus_minutus
11,host,Microtus_oeconomus
12,host,Mus_musculus
13,host,Myodes_glareolus
14,host,Myodes_rufocanus
15,host,Myodes_rutilus
16,host,Neomys_fodiens
17,host,Sicista_betulina
18,host,Sorex_araneus
19,host,Sorex_caecutiens
20,host,Sorex_isodon
21,host,Sorex_minutus
22,host,Sorex_tundrensis
23,paras,Androlaelaps_glasgowi
24,paras,Amerosejus_corbicula
25,paras,Euryparasitus_emarginatus
26,paras,Euryparasitus_medius
27,paras,Eulaelaps_stabularis
28,paras,Haemogamasus_ambulans
29,paras,Haemogamasus_mandschuricus
30,paras,Haemogamasus_nidi
31,paras,Haemogamasus_nidiformes
32,paras,Hirstionyssus_apodemi
33,paras,Hirstionyssus_criceti
34,paras,Hirstionyssus_isabellinus
35,paras,Hirstionyssus_soricis
36,paras,Holoparasitus_gontscharovae
37,paras,Hyperlaelaps_arvalis
38,paras,Iphidosoma_fimetarium
39,paras,Laelaspis_astronomicus
40,paras,Laelaps_clethrionomydis
41,paras,Laelaps_hilaris
42,paras,Laelaps_micromydis
43,paras,Laelaps_muris
44,paras,Laelaps_pavlovskyi
45,paras,Macrocheles_matrius
46,paras,Macrocheles_decoloratus
47,paras,Myonyssus_ingricus
48,paras,Macrocheles_glaber
49,paras,Macrocheles_nataliae
50,paras,Macrocheles_rotundiscutus
51,paras,Parasitus_berlesei
52,paras,Parasitus_coleoptratorum
53,paras,Parasitus_consanguineus
54,paras,Parasitus_convexus
55,paras,Pergamasus_crassipes
56,paras,Pergamasus_septentrionalis
57,paras,Parasitus_fimetorum
58,paras,Parasitus_lunaris
59,paras,Parasitus_magnus
60,paras,Poecilochirus_necrophori
61,paras,Parasitus_oudemansi
62,paras,Parasitus_remberti
63,paras,Poecilochirus_subterraneus
64,paras,Proctolaelaps_pygmaeus
65,paras,Amphipsylla_sibirica
66,paras,Ceratophyllus_indages
67,paras,Ctenophthalmus_assimilis
68,paras,Megabothris_turbidus
69,paras,Megabothris_rectangulatus
70,paras,Amalaraeus_penicilliger
71,paras,Doratopsylla_birulai
72,paras,Frontopsylla_elata
73,paras,Histrichopsylla_talpae
74,paras,Leptopsylla_segnis
75,paras,Neopsylla_acanthina
76,paras,Neopsylla_mana
77,paras,Palaeopsylla_soricis
78,paras,Rhadinopsylla_integella
