code,consumer,resource,ConsumerNodeID,ResourceNodeID
1,Calanus finnmarchicus,Phaeocystis pouchetii,22,1
2,Calanus finnmarchicus,Chaetoceros socialis,22,2
3,Calanus finnmarchicus,Thalassiosira nordenskioeldii,22,3
4,Calanus finnmarchicus,Fragilariopsis,22,4
5,Calanus finnmarchicus,Protoperidinium,22,5
6,Calanus finnmarchicus,Gymnodinium,22,6
7,Calanus finnmarchicus,Dinobryon balticum,22,7
8,Calanus finnmarchicus,Thalassiosira antarctica,22,8
9,Calanus finnmarchicus,Cylindrotheca closterium,22,9
10,Calanus finnmarchicus,Chaetoceros,22,10
11,Calanus finnmarchicus,Coccolithus pleagicus,22,11
12,Calanus finnmarchicus,Globoquadriana pachyderma,22,12
13,Calanus finnmarchicus,Globigerinita bradyi,22,13
14,Calanus finnmarchicus,Globigerina quinqueloba,22,14
15,Calanus finnmarchicus,Nitzschia frigida,22,15
16,Calanus finnmarchicus,Pleurosigma stuxbergii,22,16
17,Calanus finnmarchicus,Navicula pelagica,22,17
18,Calanus finnmarchicus,Entomoneis,22,18
19,Calanus finnmarchicus,Cocconeis,22,19
20,Calanus finnmarchicus,Dinophysis acuta,22,20
21,Calanus finnmarchicus,Onacea borealis,22,23
22,Calanus finnmarchicus,Bradyidius similis,22,24
23,Calanus finnmarchicus,Microcalanus pusillus,22,25
24,Calanus finnmarchicus,Copepoda nauplii,22,26
25,Calanus finnmarchicus,Metridia longa,22,27
26,Calanus finnmarchicus,Metridia lucens,22,28
27,Calanus finnmarchicus,Calanus glacialis,22,29
28,Calanus finnmarchicus,Calanus hyperboreus,22,30
29,Calanus finnmarchicus,Pseudocalanus,22,31
30,Calanus finnmarchicus,Oithona similis,22,32
31,Calanus finnmarchicus,Fritillaria,22,33
32,Calanus finnmarchicus,Clione limacina,22,34
33,Calanus finnmarchicus,Limacina helicina,22,35
34,Calanus finnmarchicus,Gaidius tenuispinus,22,36
35,Calanus finnmarchicus,Xanthocalanus,22,37
36,Calanus finnmarchicus,POM,22,260
37,Calanus finnmarchicus,Phytodetritus,22,261
38,Onacea borealis,Phaeocystis pouchetii,23,1
39,Onacea borealis,Chaetoceros socialis,23,2
40,Onacea borealis,Thalassiosira nordenskioeldii,23,3
41,Onacea borealis,Fragilariopsis,23,4
42,Onacea borealis,Protoperidinium,23,5
43,Onacea borealis,Gymnodinium,23,6
44,Onacea borealis,Dinobryon balticum,23,7
45,Onacea borealis,Thalassiosira antarctica,23,8
46,Onacea borealis,Cylindrotheca closterium,23,9
47,Onacea borealis,Chaetoceros,23,10
48,Onacea borealis,Coccolithus pleagicus,23,11
49,Onacea borealis,Globoquadriana pachyderma,23,12
50,Onacea borealis,Globigerinita bradyi,23,13
51,Onacea borealis,Globigerina quinqueloba,23,14
52,Onacea borealis,Nitzschia frigida,23,15
53,Onacea borealis,Pleurosigma stuxbergii,23,16
54,Onacea borealis,Navicula pelagica,23,17
55,Onacea borealis,Entomoneis,23,18
56,Onacea borealis,Cocconeis,23,19
57,Onacea borealis,Dinophysis acuta,23,20
58,Onacea borealis,POM,23,260
59,Onacea borealis,Phytodetritus,23,261
60,Bradyidius similis,Phaeocystis pouchetii,24,1
61,Bradyidius similis,Chaetoceros socialis,24,2
62,Bradyidius similis,Thalassiosira nordenskioeldii,24,3
63,Bradyidius similis,Fragilariopsis,24,4
64,Bradyidius similis,Protoperidinium,24,5
65,Bradyidius similis,Gymnodinium,24,6
66,Bradyidius similis,Dinobryon balticum,24,7
67,Bradyidius similis,Thalassiosira antarctica,24,8
68,Bradyidius similis,Cylindrotheca closterium,24,9
69,Bradyidius similis,Chaetoceros,24,10
70,Bradyidius similis,Coccolithus pleagicus,24,11
71,Bradyidius similis,Globoquadriana pachyderma,24,12
72,Bradyidius similis,Globigerinita bradyi,24,13
73,Bradyidius similis,Globigerina quinqueloba,24,14
74,Bradyidius similis,Nitzschia frigida,24,15
75,Bradyidius similis,Pleurosigma stuxbergii,24,16
76,Bradyidius similis,Navicula pelagica,24,17
77,Bradyidius similis,Entomoneis,24,18
78,Bradyidius similis,Cocconeis,24,19
79,Bradyidius similis,Dinophysis acuta,24,20
80,Bradyidius similis,Phytodetritus,24,261
81,Microcalanus pusillus,Phaeocystis pouchetii,25,1
82,Microcalanus pusillus,Protoperidinium,25,5
83,Microcalanus pusillus,Gymnodinium,25,6
84,Microcalanus pusillus,Navicula pelagica,25,17
85,Microcalanus pusillus,Entomoneis,25,18
86,Microcalanus pusillus,Cocconeis,25,19
87,Microcalanus pusillus,POM,25,260
88,Microcalanus pusillus,Phytodetritus,25,261
89,Copepoda nauplii,POM,26,260
90,Metridia longa,Onacea borealis,27,23
91,Metridia longa,Bradyidius similis,27,24
92,Metridia longa,Clione limacina,27,34
93,Metridia longa,POM,27,260
94,Metridia longa,Phytodetritus,27,261
95,Metridia lucens,Calanus finnmarchicus,28,22
96,Metridia lucens,POM,28,260
97,Metridia lucens,Phytodetritus,28,261
98,Calanus glacialis,POM,29,260
99,Calanus glacialis,Phytodetritus,29,261
100,Calanus hyperboreus,Calanus glacialis,30,29
101,Calanus hyperboreus,POM,30,260
102,Calanus hyperboreus,Phytodetritus,30,261
103,Pseudocalanus,Phytodetritus,31,261
104,Oithona similis,Phytodetritus,32,261
105,Fritillaria,POM,33,260
106,Fritillaria,Phytodetritus,33,261
107,Clione limacina,POM,34,260
108,Limacina helicina,Clione limacina,35,34
109,Limacina helicina,Limacina helicina,35,35
110,Limacina helicina,POM,35,260
111,Gaidius tenuispinus,Phytodetritus,36,261
112,Xanthocalanus,Phytodetritus,37,261
113,Thysanoessa raschii,Calanus finnmarchicus,38,22
114,Thysanoessa raschii,Onacea borealis,38,23
115,Thysanoessa raschii,Bradyidius similis,38,24
116,Thysanoessa raschii,Microcalanus pusillus,38,25
117,Thysanoessa raschii,Copepoda nauplii,38,26
118,Thysanoessa raschii,Metridia longa,38,27
119,Thysanoessa raschii,Metridia lucens,38,28
120,Thysanoessa raschii,Calanus glacialis,38,29
121,Thysanoessa raschii,Calanus hyperboreus,38,30
122,Thysanoessa raschii,Pseudocalanus,38,31
123,Thysanoessa raschii,Oithona similis,38,32
124,Thysanoessa raschii,POM,38,260
125,Thysanoessa raschii,Phytodetritus,38,261
126,Thysanoessa longicaudata,Calanus finnmarchicus,39,22
127,Thysanoessa longicaudata,Metridia longa,39,27
128,Thysanoessa longicaudata,Metridia lucens,39,28
129,Thysanoessa longicaudata,POM,39,260
130,Thysanoessa longicaudata,Phytodetritus,39,261
131,Thysanoessa inermis,Phytodetritus,40,261
132,Themisto libellula,Phytodetritus,41,261
133,Themisto abyssorum,Phytodetritus,42,261
134,Boremysis arctica,Phytodetritus,43,261
135,Neoscolecithrix farrani,Phytodetritus,44,261
136,Neoscolecithrix farrani,Sediment,44,262
137,Mertensia ovum,Calanus finnmarchicus,45,22
138,Mertensia ovum,Onacea borealis,45,23
139,Mertensia ovum,Bradyidius similis,45,24
140,Mertensia ovum,Microcalanus pusillus,45,25
141,Mertensia ovum,Copepoda nauplii,45,26
142,Mertensia ovum,Metridia longa,45,27
143,Mertensia ovum,Metridia lucens,45,28
144,Mertensia ovum,Calanus glacialis,45,29
145,Mertensia ovum,Calanus hyperboreus,45,30
146,Mertensia ovum,Pseudocalanus,45,31
147,Mertensia ovum,Oithona similis,45,32
148,Mertensia ovum,Clione limacina,45,34
149,Mertensia ovum,Limacina helicina,45,35
150,Mertensia ovum,Mertensia ovum,45,45
151,Mertensia ovum,Beroe cucumis,45,46
152,Beroe cucumis,Calanus finnmarchicus,46,22
153,Beroe cucumis,Onacea borealis,46,23
154,Beroe cucumis,Bradyidius similis,46,24
155,Beroe cucumis,Microcalanus pusillus,46,25
156,Beroe cucumis,Copepoda nauplii,46,26
157,Beroe cucumis,Metridia longa,46,27
158,Meganyctiphanes norvegica,Metridia lucens,47,28
159,Boreomysis arctica,POM,48,260
160,Boreomysis arctica,Phytodetritus,48,261
161,Boreomysis arctica,Sediment,48,262
162,Balanus balanus,POM,66,260
163,Balanus balanus,Phytodetritus,66,261
164,Balanus balanus,Sediment,66,262
165,Semibalanus balanoides,POM,67,260
166,Semibalanus balanoides,Phytodetritus,67,261
167,Semibalanus balanoides,Sediment,67,262
168,Littorina saxatilis,Fucus distichus,68,49
