code,consumer,resource,ConsumerNodeID,ResourceNodeID
169,Littorina saxatilis,Pylaiella littoralis,68,50
170,Littorina saxatilis,Chordaria flagelliformis,68,51
171,Littorina saxatilis,Acrosiphonia,68,52
172,Littorina saxatilis,Alaria esculenta,68,53
173,Littorina saxatilis,Laminaria saccharina,68,54
174,Littorina saxatilis,Laminaria digitata,68,55
175,Littorina saxatilis,Saccorhiza dermatodea,68,56
176,Littorina saxatilis,Laminaria solidungula,68,57
177,Littorina saxatilis,Phycodrys rubens,68,58
178,Littorina saxatilis,Ptilta gunneri,68,59
179,Littorina saxatilis,Fimbrifolium dichotomum,68,60
180,Littorina saxatilis,Desmarestia aculeata,68,61
181,Littorina saxatilis,Palmaria palmata,68,62
182,Littorina saxatilis,Devaleraea ramentacea,68,63
183,Littorina saxatilis,Turnerella pennyi,68,64
184,Littorina saxatilis,Desmarestia viridis,68,65
185,Littorina saxatilis,Phytodetritus,68,261
186,Littorina saxatilis,Sediment,68,262
187,Ischyroceros,Phytodetritus,69,261
188,Ischyroceros,Sediment,69,262
189,Gammarus setosus,Phytodetritus,70,261
190,Gammarus setosus,Sediment,70,262
191,Gammarellus homari,Phytodetritus,71,261
192,Onisimus littoralis,Phytodetritus,72,261
193,Onisimus littoralis,Sediment,72,262
194,Anonyx nugax,Phytodetritus,73,261
195,Anonyx sarsi,Phytodetritus,74,261
196,Arrhis phyllonyx,Phytodetritus,75,261
197,Brachydiastylis resima,Phytodetritus,76,261
198,Brachydiastylis resima,Sediment,76,262
199,Caprella septentrionalis,Phytodetritus,77,261
200,Caprella septentrionalis,Sediment,77,262
201,Corophium crassicorne,Phytodetritus,78,261
202,Corophium crassicorne,Sediment,78,262
203,Diastylis goodsiri,Phytodetritus,79,261
204,Diastylis goodsiri,Sediment,79,262
205,Diastylis lucifera,Phytodetritus,80,261
206,Diastylis lucifera,Sediment,80,262
207,Diastylis rathkii,Phytodetritus,81,261
208,Diastylis rathkii,Sediment,81,262
209,Eryhtrops erythropthalma,Phytodetritus,82,261
210,Eryhtrops erythropthalma,Sediment,82,262
211,Eualus gaimardi,Balanus balanus,83,66
212,Eualus gaimardi,Semibalanus balanoides,83,67
213,Eualus gaimardi,Littorina saxatilis,83,68
214,Eualus gaimardi,Sediment,83,262
215,Halirages fulvocinctus,Phytodetritus,84,261
216,Halirages fulvocinctus,Sediment,84,262
217,Hyas araneus,Fucus distichus,85,49
218,Hyas araneus,Pylaiella littoralis,85,50
219,Hyas araneus,Chordaria flagelliformis,85,51
220,Hyas araneus,Acrosiphonia,85,52
221,Hyas araneus,Alaria esculenta,85,53
222,Hyas araneus,Laminaria saccharina,85,54
223,Hyas araneus,Laminaria digitata,85,55
224,Hyas araneus,Saccorhiza dermatodea,85,56
225,Hyas araneus,Laminaria solidungula,85,57
226,Hyas araneus,Phycodrys rubens,85,58
227,Hyas araneus,Ptilta gunneri,85,59
228,Hyas araneus,Fimbrifolium dichotomum,85,60
229,Hyas araneus,Desmarestia aculeata,85,61
230,Hyas araneus,Palmaria palmata,85,62
231,Hyas araneus,Devaleraea ramentacea,85,63
232,Hyas araneus,Turnerella pennyi,85,64
233,Hyas araneus,Desmarestia viridis,85,65
234,Hyas araneus,Balanus balanus,85,66
235,Hyas araneus,Semibalanus balanoides,85,67
236,Hyas araneus,Glycera capitata,85,134
237,Hyas araneus,Harmothoe imbricata,85,135
238,Hyas araneus,Heteromastus filiformis,85,136
239,Hyas araneus,Leitoscoloplos mammosus,85,137
240,Hyas araneus,Levinsenia gracilis,85,138
241,Hyas araneus,Lumbrineris,85,139
242,Hyas araneus,Lysippe labiata,85,140
243,Hyas araneus,Nephtys ciliata,85,141
244,Hyas araneus,Nereimyra punctata,85,142
245,Hyas araneus,Nereis zonata,85,143
246,Hyas araneus,Yoldia hyperborea,85,207
247,Hyas araneus,Yoldiella frigida,85,208
248,Hyas araneus,Yoldiella lenticula,85,209
249,Hyas araneus,Yoldiella solidula,85,210
250,Hyas araneus,Ophiocten sericeum,85,211
251,Hyas araneus,Ophiopholis aculeata,85,212
252,Hyas araneus,Ophiura robusta,85,213
253,Hyas araneus,Strongylocentrotus pallidus,85,214
254,Hyas araneus,Strongylocentrotus droebachiensis,85,215
255,Hyas araneus,Crossaster papposus,85,216
256,Hyas araneus,Henricia,85,217
257,Hyas araneus,Sediment,85,262
258,Ischyrocerus anguipes,Phytodetritus,86,261
259,Ischyrocerus anguipes,Sediment,86,262
260,Janira,Phytodetritus,87,261
261,Janira,Sediment,87,262
262,Lamprops fuscatus,Phytodetritus,88,261
263,Lamprops fuscatus,Sediment,88,262
264,Lebbeus polaris,Calanus finnmarchicus,89,22
265,Lebbeus polaris,Copepoda nauplii,89,26
266,Lebbeus polaris,Pseudocalanus,89,31
267,Lebbeus polaris,Oithona similis,89,32
268,Lebbeus polaris,Fritillaria,89,33
269,Lebbeus polaris,Limacina helicina,89,35
270,Lebbeus polaris,Phytodetritus,89,261
271,Melita dentata,Phytodetritus,90,261
272,Melita dentata,Sediment,90,262
273,Melita formosa,Phytodetritus,91,261
274,Melita formosa,Sediment,91,262
275,Melita palmata,Phytodetritus,92,261
276,Melita palmata,Sediment,92,262
277,Monoculodes borealis,Phytodetritus,93,261
278,Monoculodes longirostris,Calanus finnmarchicus,94,22
279,Monoculodes longirostris,Onacea borealis,94,23
280,Monoculodes longirostris,Bradyidius similis,94,24
281,Monoculodes longirostris,Microcalanus pusillus,94,25
282,Monoculodes longirostris,Copepoda nauplii,94,26
283,Monoculodes longirostris,Metridia longa,94,27
284,Monoculodes longirostris,Metridia lucens,94,28
285,Monoculodes longirostris,Calanus glacialis,94,29
286,Monoculodes longirostris,Calanus hyperboreus,94,30
287,Monoculodes longirostris,Pseudocalanus,94,31
288,Monoculodes longirostris,Oithona similis,94,32
289,Monoculodes longirostris,Phytodetritus,94,261
290,Munna,Phytodetritus,95,261
291,Munna,Sediment,95,262
292,Munnopsis,Phytodetritus,96,261
293,Munnopsis,Sediment,96,262
294,Mysis oculata,Phytodetritus,97,261
295,Mysis oculata,Sediment,97,262
296,Onisimus caricus,Phytodetritus,98,261
297,Onisimus caricus,Sediment,98,262
298,Onisimus edwardsi,Phytodetritus,99,261
299,Onisimus edwardsi,Sediment,99,262
300,Orchomenella minuta,Phytodetritus,100,261
301,Orchomenella minuta,Sediment,100,262
302,Pagurus pubescens,Heteromastus filiformis,101,136
303,Pagurus pubescens,Leitoscoloplos mammosus,101,137
304,Pagurus pubescens,Levinsenia gracilis,101,138
305,Pagurus pubescens,Lumbrineris,101,139
306,Pagurus pubescens,Lysippe labiata,101,140
307,Pagurus pubescens,Nephtys ciliata,101,141
308,Pagurus pubescens,Nereimyra punctata,101,142
309,Pagurus pubescens,Nereis zonata,101,143
310,Pagurus pubescens,Pholoe assimilis,101,144
311,Pagurus pubescens,Phyllodoce,101,145
312,Pagurus pubescens,Polydora,101,146
313,Pagurus pubescens,Cylichna cf. oculata,101,168
314,Pagurus pubescens,Elachisina globuloides,101,169
315,Pagurus pubescens,Erginus rubellus,101,170
316,Pagurus pubescens,Euspira pallida,101,171
317,Pagurus pubescens,Frigidoalvania cruenta,101,172
318,Pagurus pubescens,Ophiocten sericeum,101,211
319,Pagurus pubescens,Ophiopholis aculeata,101,212
320,Pagurus pubescens,Ophiura robusta,101,213
321,Pagurus pubescens,Strongylocentrotus pallidus,101,214
322,Pagurus pubescens,Strongylocentrotus droebachiensis,101,215
323,Pagurus pubescens,Crossaster papposus,101,216
324,Pagurus pubescens,Henricia,101,217
325,Pagurus pubescens,Urticina eques,101,220
326,Pagurus pubescens,Hormathia nodosa,101,221
327,Pagurus pubescens,Phytodetritus,101,261
328,Pagurus pubescens,Sediment,101,262
329,Pandalus borealis,Phytodetritus,102,261
330,Parapleustes assimilis,Neoscolecithrix farrani,103,44
331,Parapleustes assimilis,Laminaria saccharina,103,54
332,Parapleustes assimilis,Laminaria digitata,103,55
333,Parapleustes assimilis,Diastylis goodsiri,103,79
334,Parapleustes assimilis,Diastylis lucifera,103,80
335,Parapleustes assimilis,Diastylis rathkii,103,81
336,Parapleustes assimilis,Phytodetritus,103,261
337,Parapleustes assimilis,Sediment,103,262
338,Parapleustes bicuspis,Neoscolecithrix farrani,104,44
339,Parapleustes bicuspis,Laminaria saccharina,104,54
340,Parapleustes bicuspis,Laminaria digitata,104,55
341,Parapleustes bicuspis,Diastylis goodsiri,104,79
342,Parapleustes bicuspis,Diastylis lucifera,104,80
343,Parapleustes bicuspis,Diastylis rathkii,104,81
344,Parapleustes bicuspis,Ischyrocerus anguipes,104,86
345,Parapleustes bicuspis,Janira,104,87
346,Parapleustes bicuspis,Lamprops fuscatus,104,88
347,Parapleustes bicuspis,Phytodetritus,104,261
348,Parapleustes bicuspis,Sediment,104,262
349,Parapleustes monocuspis,Neoscolecithrix farrani,105,44
350,Parapleustes monocuspis,Boreomysis arctica,105,48
351,Parapleustes monocuspis,Laminaria saccharina,105,54
352,Parapleustes monocuspis,Laminaria digitata,105,55
353,Parapleustes monocuspis,Phytodetritus,105,261
354,Parapleustes monocuspis,Sediment,105,262
355,Paroediceros lynceus,Neoscolecithrix farrani,106,44
356,Paroediceros lynceus,Laminaria saccharina,106,54
357,Paroediceros lynceus,Laminaria digitata,106,55
358,Paroediceros lynceus,Littorina saxatilis,106,68
359,Paroediceros lynceus,Diastylis goodsiri,106,79
360,Paroediceros lynceus,Diastylis lucifera,106,80
361,Paroediceros lynceus,Diastylis rathkii,106,81
362,Paroediceros lynceus,Ischyrocerus anguipes,106,86
363,Paroediceros lynceus,Janira,106,87
364,Paroediceros lynceus,Lamprops fuscatus,106,88
365,Paroediceros lynceus,Melita dentata,106,90
366,Paroediceros lynceus,Melita formosa,106,91
367,Paroediceros lynceus,Melita palmata,106,92
368,Paroediceros lynceus,Munna,106,95
369,Paroediceros lynceus,Phytodetritus,106,261
370,Paroediceros lynceus,Sediment,106,262
371,Pleustes panoplus,Neoscolecithrix farrani,107,44
372,Pleustes panoplus,Laminaria saccharina,107,54
373,Pleustes panoplus,Laminaria digitata,107,55
374,Pleustes panoplus,Littorina saxatilis,107,68
375,Pleustes panoplus,Ischyroceros,107,69
376,Pleustes panoplus,Gammarus setosus,107,70
377,Pleustes panoplus,Diastylis goodsiri,107,79
378,Pleustes panoplus,Diastylis lucifera,107,80
379,Pleustes panoplus,Diastylis rathkii,107,81
380,Pleustes panoplus,Phytodetritus,107,261
381,Pleustes panoplus,Sediment,107,262
382,Pleusymtes glabroides,Phytodetritus,108,261
383,Pleusymtes glabroides,Sediment,108,262
384,Pontoporeia femorata,Phytodetritus,109,261
385,Pontoporeia femorata,Sediment,109,262
386,Rhachotropis inflata,Phytodetritus,110,261
387,Rhachotropis inflata,Sediment,110,262
388,Spirontocaris spinus,Phytodetritus,111,261
389,Spirontocaris turgida,Sediment,112,262
390,Stilomysis grandis,Phytodetritus,113,261
391,Syrrhoe crenulata,Sediment,114,262
392,Tanaidacea,Phytodetritus,115,261
393,Tanaidacea,Sediment,115,262
394,Unciola leucopis,Phytodetritus,116,261
395,Unciola leucopis,Sediment,116,262
396,Weyprechtia pinguis,Phytodetritus,117,261
397,Weyprechtia pinguis,Sediment,117,262
398,Haliclona,POM,118,260
399,Haliclona,Phytodetritus,118,261
400,Aglaophamus malmgreni,Aglaophamus malmgreni,119,119
401,Aglaophamus malmgreni,Ampharete finmarchica,119,120
402,Aglaophamus malmgreni,Heteromastus filiformis,119,136
403,Aglaophamus malmgreni,Leitoscoloplos mammosus,119,137
404,Aglaophamus malmgreni,Levinsenia gracilis,119,138
405,Aglaophamus malmgreni,Lumbrineris,119,139
406,Aglaophamus malmgreni,Lysippe labiata,119,140
407,Aglaophamus malmgreni,Nephtys ciliata,119,141
408,Aglaophamus malmgreni,Nereimyra punctata,119,142
409,Aglaophamus malmgreni,Nereis zonata,119,143
410,Aglaophamus malmgreni,Pholoe assimilis,119,144
411,Aglaophamus malmgreni,Phyllodoce,119,145
412,Aglaophamus malmgreni,Priapulus caudatus,119,156
413,Aglaophamus malmgreni,Sipunculida,119,157
414,Aglaophamus malmgreni,Philine,119,179
415,Aglaophamus malmgreni,Phytodetritus,119,261
416,Aglaophamus malmgreni,Sediment,119,262
417,Ampharete finmarchica,Phytodetritus,120,261
418,Ampharete finmarchica,Sediment,120,262
419,Brada inhabilis,Phytodetritus,121,261
420,Brada inhabilis,Sediment,121,262
421,Brada villosa,Phytodetritus,122,261
422,Brada villosa,Sediment,122,262
423,Bylgides elegans,Phytodetritus,123,261
424,Bylgides elegans,Sediment,123,262
425,Bylgides groenlandica,Phytodetritus,124,261
426,Bylgides groenlandica,Sediment,124,262
427,Capitella capitata,Phytodetritus,125,261
428,Capitella capitata,Sediment,125,262
429,Chaetozone,Phytodetritus,126,261
430,Chaetozone,Sediment,126,262
431,Chone,Phytodetritus,127,261
432,Chone,Sediment,127,262
433,Circeis,Phytodetritus,128,261
434,Circeis,Sediment,128,262
435,Cossura longocirrata,Phytodetritus,129,261
436,Cossura longocirrata,Sediment,129,262
437,Diplocirrus hirsutus,Phytodetritus,130,261
438,Diplocirrus hirsutus,Sediment,130,262
439,Eteone,Phytodetritus,131,261
440,Eteone,Sediment,131,262
441,Euchone,Phytodetritus,132,261
442,Euchone,Sediment,132,262
443,Gattyana cirrhosa,Janira,133,87
444,Gattyana cirrhosa,Tanaidacea,133,115
445,Gattyana cirrhosa,Haliclona,133,118
446,Gattyana cirrhosa,Phyllodoce,133,145
447,Gattyana cirrhosa,Priapulus caudatus,133,156
448,Gattyana cirrhosa,Sipunculida,133,157
449,Gattyana cirrhosa,Philine,133,179
450,Gattyana cirrhosa,Styela rustica,133,218
451,Gattyana cirrhosa,Halocynthia pyriformis,133,219
452,Gattyana cirrhosa,Urticina eques,133,220
453,Gattyana cirrhosa,Hormathia nodosa,133,221
454,Gattyana cirrhosa,Phytodetritus,133,261
455,Gattyana cirrhosa,Sediment,133,262
456,Glycera capitata,Janira,134,87
457,Glycera capitata,Tanaidacea,134,115
458,Glycera capitata,Haliclona,134,118
459,Glycera capitata,Eteone,134,131
460,Glycera capitata,Phyllodoce,134,145
461,Glycera capitata,Priapulus caudatus,134,156
462,Glycera capitata,Sipunculida,134,157
463,Glycera capitata,Philine,134,179
464,Glycera capitata,Phytodetritus,134,261
465,Glycera capitata,Sediment,134,262
466,Harmothoe imbricata,Tanaidacea,135,115
467,Harmothoe imbricata,Haliclona,135,118
468,Harmothoe imbricata,Harmothoe imbricata,135,135
469,Harmothoe imbricata,Phyllodoce,135,145
470,Harmothoe imbricata,Priapulus caudatus,135,156
471,Harmothoe imbricata,Sipunculida,135,157
472,Harmothoe imbricata,Philine,135,179
473,Harmothoe imbricata,Phytodetritus,135,261
474,Harmothoe imbricata,Sediment,135,262
475,Heteromastus filiformis,Phytodetritus,136,261
476,Heteromastus filiformis,Sediment,136,262
477,Leitoscoloplos mammosus,Phytodetritus,137,261
478,Leitoscoloplos mammosus,Sediment,137,262
479,Levinsenia gracilis,Phytodetritus,138,261
480,Levinsenia gracilis,Sediment,138,262
481,Lumbrineris,Phytodetritus,139,261
482,Lysippe labiata,Phytodetritus,140,261
483,Lysippe labiata,Sediment,140,262
484,Nephtys ciliata,Phytodetritus,141,261
485,Nereimyra punctata,Phytodetritus,142,261
486,Nereimyra punctata,Sediment,142,262
487,Nereis zonata,Tanaidacea,143,115
488,Nereis zonata,Haliclona,143,118
489,Nereis zonata,Harmothoe imbricata,143,135
490,Nereis zonata,Nereis zonata,143,143
491,Nereis zonata,Phyllodoce,143,145
492,Nereis zonata,Priapulus caudatus,143,156
493,Nereis zonata,Sipunculida,143,157
494,Nereis zonata,Philine,143,179
495,Nereis zonata,Phytodetritus,143,261
496,Nereis zonata,Sediment,143,262
497,Pholoe assimilis,Phytodetritus,144,261
498,Pholoe assimilis,Sediment,144,262
499,Phyllodoce,Phytodetritus,145,261
500,Phyllodoce,Sediment,145,262
501,Polydora,Phytodetritus,146,261
502,Polydora,Sediment,146,262
503,Prionospio cirrifera,Phytodetritus,147,261
504,Prionospio cirrifera,Sediment,147,262
505,Sabellides octocirrata,Phytodetritus,148,261
506,Sabellides octocirrata,Sediment,148,262
507,Samytha sexcirrata,Phytodetritus,149,261
508,Samytha sexcirrata,Sediment,149,262
509,Scoletoma fragilis,Phytodetritus,150,261
510,Scoletoma fragilis,Sediment,150,262
511,Scoloplos armiger,Phytodetritus,151,261
512,Scoloplos armiger,Sediment,151,262
513,Spio,Phytodetritus,152,261
514,Spio,Sediment,152,262
515,Terebellides stroemi,Phytodetritus,153,261
516,Terebellides stroemi,Sediment,153,262
517,Thelepus cincinnatus,Phytodetritus,154,261
518,Thelepus cincinnatus,Sediment,154,262
519,Halicryptus spinulosus,POM,155,260
520,Halicryptus spinulosus,Phytodetritus,155,261
521,Halicryptus spinulosus,Sediment,155,262
522,Priapulus caudatus,POM,156,260
523,Priapulus caudatus,Phytodetritus,156,261
524,Priapulus caudatus,Sediment,156,262
525,Sipunculida,Phytodetritus,157,261
526,Sipunculida,Sediment,157,262
527,Pycnogonida,Glycera capitata,158,134
528,Pycnogonida,Harmothoe imbricata,158,135
529,Pycnogonida,Heteromastus filiformis,158,136
530,Pycnogonida,Leitoscoloplos mammosus,158,137
531,Pycnogonida,Levinsenia gracilis,158,138
532,Pycnogonida,Lumbrineris,158,139
533,Pycnogonida,Lysippe labiata,158,140
534,Pycnogonida,Nephtys ciliata,158,141
535,Pycnogonida,Nereimyra punctata,158,142
536,Pycnogonida,Nereis zonata,158,143
537,Pycnogonida,Boreocingula castanea,158,162
538,Pycnogonida,Boreotrophon truncatus,158,163
539,Pycnogonida,Buccinum scalariforme,158,164
540,Pycnogonida,Buccinum terranovae,158,165
541,Pycnogonida,Buccinum undatum,158,166
542,Pycnogonida,Cylichna cf. alba,158,167
543,Pycnogonida,Cylichna cf. oculata,158,168
544,Pycnogonida,Elachisina globuloides,158,169
545,Pycnogonida,Erginus rubellus,158,170
546,Pycnogonida,Euspira pallida,158,171
547,Pycnogonida,Frigidoalvania cruenta,158,172
548,Pycnogonida,Lepeta caeca,158,173
549,Pycnogonida,Margarites groenlandicus,158,174
550,Pycnogonida,Margarites helicinus,158,175
551,Pycnogonida,Menestho albula,158,176
552,Pycnogonida,Menestho truncatula,158,177
553,Pycnogonida,Oenopota impressa,158,178
554,Pycnogonida,Philine,158,179
555,Pycnogonida,Puncturella noachina,158,180
556,Pycnogonida,Retusa obtusata,158,181
557,Pycnogonida,Solariella varicosa,158,182
558,Chaetoderma,Phytodetritus,159,261
559,Chaetoderma,Sediment,159,262
560,Tonicella marmorea,Fucus distichus,160,49
561,Tonicella marmorea,Pylaiella littoralis,160,50
562,Tonicella marmorea,Chordaria flagelliformis,160,51
563,Tonicella marmorea,Acrosiphonia,160,52
564,Tonicella marmorea,Alaria esculenta,160,53
565,Tonicella marmorea,Laminaria saccharina,160,54
566,Tonicella marmorea,Laminaria digitata,160,55
567,Tonicella marmorea,Saccorhiza dermatodea,160,56
568,Tonicella marmorea,Laminaria solidungula,160,57
569,Tonicella marmorea,Phycodrys rubens,160,58
570,Tonicella marmorea,Ptilta gunneri,160,59
571,Tonicella marmorea,Fimbrifolium dichotomum,160,60
572,Tonicella marmorea,Desmarestia aculeata,160,61
573,Tonicella marmorea,Palmaria palmata,160,62
574,Tonicella marmorea,Devaleraea ramentacea,160,63
575,Tonicella marmorea,Turnerella pennyi,160,64
