NodeID,Species,FeedingType,Mobility,Environment
222,Sabinea septemcarinata,predator,3,benthopelagic
223,Sclerocrangon boreas,predator/scavenger,3,benthopelagic
224,Boreogadus saida,predator,4,benthopelagic
225,Gadus morhua,predator,4,benthic
226,Reinhardtius hipoglossoides,predator,4,benthopelagic
227,Hipoglossoides platessoides,predator,4,benthic
228,Lycodes,predator,4,benthic
229,Sebastes mentella,predator,4,benthopelagic
230,Liparis liparis,predator,4,benthic
231,Anisarchus medius,predator,4,benthic
232,Lumpenus lampretaeformis,predator,4,benthic
233,Leptagonus decagonus,predator,4,benthic
234,Leptoclinus maculatus,predator,4,benthic
235,Liparis fabricii,predator,4,benthic
236,Artediellus europeus,predator,4,benthic
237,Careproctus reinhardti,predator,4,benthic
238,Sebastes marinus,predator,4,benthic
239,Mallotus villosus,predator,4,benthic
240,Eumicotremus derjugini,predator,4,benthic
241,Raja clavata,predator,4,benthic
242,Myoxocephalus scorpius,predator,4,benthic
243,Anarhichas lupus,predator,4,benthic
244,Gymnocanthus tricuspis,predator,4,benthic
245,Pusa hispida,predator,4,land-based/pelagic
246,Erignathus barbatus,predator,4,land-based/pelagic
247,Phoca vitulina,predator,4,land-based/pelagic
248,Odobenus rosmarus,predator,4,benthopelagic
249,Dephinapterus leucas,predator,4,benthopelagic
250,Balaenoptera acutorostrata,predator,4,benthopelagic
251,Calidris maritima,predator,4,land-based/pelagic
252,Somateria mollissima,predator,4,land-based/pelagic
253,Alle alle,predator,4,land-based/pelagic
254,Cepphus grylle,predator,4,land-based/pelagic
255,Fulmarus glacialis,predator,4,land-based/pelagic
256,Rissa tridactyla,predator,4,land-based/pelagic
257,Larus hyperboreus,predator,4,land-based/pelagic
258,Sterna paradisaea,predator,4,land-based/pelagic
259,Ursus maritimus,predator,4,land-based/pelagic
260,POM,none,1,none
261,Phytodetritus,none,1,none
262,Sediment,none,1,none
