node_id,node_name,flow,levels,module_level1,module_level2,module_level3,node_id_original,FeedingType,Mobility,Environment
1,Phaeocystis pouchetii,0.00330859,2,1,4,5,1,none,1,pelagic
2,Chaetoceros socialis,0.00248198,2,1,4,11,2,none,1,pelagic
3,Thalassiosira nordenskioeldii,0.00248198,2,1,4,12,3,none,1,pelagic
4,Fragilariopsis,0.00248198,2,1,4,13,4,none,1,pelagic
5,Protoperidinium,0.00330859,2,1,4,6,5,none,1,pelagic
6,Gymnodinium,0.00330859,2,1,4,7,6,none,1,pelagic
7,Dinobryon balticum,0.00248198,2,1,4,14,7,none,2,pelagic
8,Thalassiosira antarctica,0.00248198,2,1,4,15,8,none,1,pelagic
9,Cylindrotheca closterium,0.00248198,2,1,4,16,9,none,1,pelagic
10,Chaetoceros,0.00248198,2,1,4,17,10,none,1,pelagic
11,Coccolithus pleagicus,0.00248198,2,1,4,18,11,none,1,pelagic
12,Globoquadriana pachyderma,0.00248198,2,1,4,19,12,none,1,pelagic
13,Globigerinita bradyi,0.00248198,2,1,4,20,13,none,1,pelagic
14,Globigerina quinqueloba,0.00248198,2,1,4,21,14,none,1,pelagic
15,Nitzschia frigida,0.00248198,2,1,4,22,15,none,1,pelagic
16,Pleurosigma stuxbergii,0.00248198,2,1,4,23,16,none,1,pelagic
17,Navicula pelagica,0.00330859,2,1,4,8,17,none,1,pelagic
18,Entomoneis,0.00330859,2,1,4,9,18,none,1,pelagic
19,Cocconeis,0.00330859,2,1,4,10,19,none,1,pelagic
20,Dinophysis acuta,0.00248198,2,1,4,24,20,none,1,pelagic
21,Gyrodinium,NA,NA,NA,NA,NA,21,predator,2,pelagic
22,Calanus finnmarchicus,0.0121512,2,1,2,1,22,predator,4,pelagic
23,Onacea borealis,0.00538097,2,1,4,1,23,predator,4,pelagic
24,Bradyidius similis,0.00538097,2,1,4,2,24,predator,4,pelagic
25,Microcalanus pusillus,0.00398254,2,1,4,4,25,predator,4,pelagic
26,Copepoda nauplii,0.00530821,1,3,2,NA,26,predator,4,pelagic
27,Metridia longa,0.00585275,2,1,2,12,27,predator,4,pelagic
28,Metridia lucens,0.0119434,2,1,2,2,28,predator,4,pelagic
29,Calanus glacialis,0.00703335,2,1,2,8,29,predator,4,pelagic
30,Calanus hyperboreus,0.00516615,2,1,2,13,30,predator,4,pelagic
31,Pseudocalanus,0.00462386,1,2,5,NA,31,predator,4,pelagic
