from,to,weight
Frigidoalvania cruenta,Sediment,1
Lepeta caeca,Phytodetritus,1
Margarites groenlandicus,Laminaria saccharina,1
Margarites groenlandicus,Phytodetritus,1
Margarites groenlandicus,Sediment,1
Margarites helicinus,Laminaria saccharina,1
Margarites helicinus,Phytodetritus,1
Margarites helicinus,Sediment,1
Menestho albula,Laminaria saccharina,1
Menestho albula,Phytodetritus,1
Menestho albula,Sediment,1
Menestho truncatula,Laminaria saccharina,1
Menestho truncatula,Phytodetritus,1
Menestho truncatula,Sediment,1
Oenopota impressa,Laminaria saccharina,1
Oenopota impressa,Phytodetritus,1
Oenopota impressa,Sediment,1
Philine,Fucus distichus,1
Philine,Pylaiella littoralis,1
Philine,Chordaria flagelliformis,1
Philine,Acrosiphonia,1
Philine,Alaria esculenta,1
Philine,Laminaria saccharina,1
Philine,Laminaria digitata,1
Philine,Saccorhiza dermatodea,1
Philine,Laminaria solidungula,1
Philine,Phycodrys rubens,1
Philine,Ptilta gunneri,1
Philine,Fimbrifolium dichotomum,1
Philine,Desmarestia aculeata,1
Philine,Palmaria palmata,1
Philine,Devaleraea ramentacea,1
Philine,Turnerella pennyi,1
Philine,Desmarestia viridis,1
Philine,Phytodetritus,1
Philine,Sediment,1
Puncturella noachina,Laminaria solidungula,1
Puncturella noachina,Halicryptus spinulosus,1
Puncturella noachina,Priapulus caudatus,1
Puncturella noachina,Sipunculida,1
Puncturella noachina,Macoma calcarea,1
Puncturella noachina,Macoma moesta,1
Puncturella noachina,Urticina eques,1
Puncturella noachina,Hormathia nodosa,1
Puncturella noachina,Phytodetritus,1
Puncturella noachina,Sediment,1
Retusa obtusata,Laminaria solidungula,1
Retusa obtusata,Halicryptus spinulosus,1
Retusa obtusata,Priapulus caudatus,1
Retusa obtusata,Sipunculida,1
Retusa obtusata,Urticina eques,1
Retusa obtusata,Hormathia nodosa,1
Retusa obtusata,Phytodetritus,1
Retusa obtusata,Sediment,1
Solariella varicosa,Laminaria solidungula,1
Solariella varicosa,Phytodetritus,1
Solariella varicosa,Sediment,1
Trophon clathratus,Fucus distichus,1
Trophon clathratus,Pylaiella littoralis,1
Trophon clathratus,Chordaria flagelliformis,1
Trophon clathratus,Acrosiphonia,1
Trophon clathratus,Alaria esculenta,1
Trophon clathratus,Laminaria saccharina,1
Trophon clathratus,Laminaria digitata,1
Trophon clathratus,Saccorhiza dermatodea,1
Trophon clathratus,Laminaria solidungula,1
Trophon clathratus,Phycodrys rubens,1
Trophon clathratus,Ptilta gunneri,1
Trophon clathratus,Fimbrifolium dichotomum,1
Trophon clathratus,Desmarestia aculeata,1
Trophon clathratus,Palmaria palmata,1
Trophon clathratus,Devaleraea ramentacea,1
Trophon clathratus,Turnerella pennyi,1
Trophon clathratus,Desmarestia viridis,1
Trophon clathratus,Sediment,1
Arctinula groenlandica,POM,1
Arctinula groenlandica,Phytodetritus,1
Astarte borealis,POM,1
Astarte borealis,Phytodetritus,1
Astarte montagui,POM,1
Astarte montagui,Phytodetritus,1
Axinopsida orbiculata,POM,1
Axinopsida orbiculata,Phytodetritus,1
Boreacola maltzani,POM,1
Boreacola maltzani,Phytodetritus,1
Ciliatocardium ciliatum,POM,1
Ciliatocardium ciliatum,Phytodetritus,1
Diplodonta torelli,POM,1
Diplodonta torelli,Phytodetritus,1
Ennucula tenuis,POM,1
Ennucula tenuis,Phytodetritus,1
Hiatella arctica,POM,1
Hiatella arctica,Phytodetritus,1
Liocyma fluctuosa,POM,1
Liocyma fluctuosa,Phytodetritus,1
Lyonsia arenosa,POM,1
Lyonsia arenosa,Phytodetritus,1
Macoma calcarea,POM,1
Macoma calcarea,Phytodetritus,1
Macoma moesta,POM,1
Macoma moesta,Phytodetritus,1
Musculus corrugatus,POM,1
Musculus corrugatus,Phytodetritus,1
Musculus discors,POM,1
Musculus discors,Phytodetritus,1
Mya truncata,POM,1
Mya truncata,Phytodetritus,1
Nuculana minuta,POM,1
Nuculana minuta,Phytodetritus,1
Nuculana pernula,POM,1
Nuculana pernula,Phytodetritus,1
Pandora glacialis,POM,1
Pandora glacialis,Phytodetritus,1
Serripes groenlandicus,POM,1
Serripes groenlandicus,Phytodetritus,1
Thracia myopsis,POM,1
Thracia myopsis,Phytodetritus,1
Thyasira dunbari,POM,1
Thyasira dunbari,Phytodetritus,1
Thyasira gouldi,POM,1
Thyasira gouldi,Phytodetritus,1
Yoldia hyperborea,POM,1
Yoldia hyperborea,Phytodetritus,1
Yoldiella frigida,POM,1
Yoldiella frigida,Phytodetritus,1
Yoldiella lenticula,POM,1
Yoldiella lenticula,Phytodetritus,1
Yoldiella solidula,POM,1
Yoldiella solidula,Phytodetritus,1
Ophiocten sericeum,Laminaria saccharina,1
Ophiocten sericeum,Laminaria digitata,1
Ophiocten sericeum,Haliclona,1
Ophiocten sericeum,Harmothoe imbricata,1
Ophiocten sericeum,Heteromastus filiformis,1
Ophiocten sericeum,Ophiocten sericeum,1
Ophiocten sericeum,Ophiopholis aculeata,1
Ophiocten sericeum,Ophiura robusta,1
Ophiocten sericeum,Styela rustica,1
Ophiocten sericeum,Halocynthia pyriformis,1
Ophiocten sericeum,Urticina eques,1
Ophiocten sericeum,Hormathia nodosa,1
Ophiocten sericeum,POM,1
Ophiocten sericeum,Phytodetritus,1
Ophiocten sericeum,Sediment,1
Ophiopholis aculeata,POM,1
Ophiopholis aculeata,Phytodetritus,1
Ophiopholis aculeata,Sediment,1
Ophiura robusta,Haliclona,1
Ophiura robusta,Urticina eques,1
Ophiura robusta,Hormathia nodosa,1
Ophiura robusta,POM,1
Ophiura robusta,Phytodetritus,1
Ophiura robusta,Sediment,1
Strongylocentrotus pallidus,Fucus distichus,1
Strongylocentrotus pallidus,Pylaiella littoralis,1
Strongylocentrotus pallidus,Chordaria flagelliformis,1
Strongylocentrotus pallidus,Acrosiphonia,1
Strongylocentrotus pallidus,Alaria esculenta,1
Strongylocentrotus pallidus,Laminaria saccharina,1
Strongylocentrotus pallidus,Laminaria digitata,1
Strongylocentrotus pallidus,Saccorhiza dermatodea,1
Strongylocentrotus pallidus,Laminaria solidungula,1
Strongylocentrotus pallidus,Phycodrys rubens,1
Strongylocentrotus pallidus,Ptilta gunneri,1
Strongylocentrotus pallidus,Fimbrifolium dichotomum,1
Strongylocentrotus pallidus,Desmarestia aculeata,1
Strongylocentrotus pallidus,Palmaria palmata,1
Strongylocentrotus pallidus,Devaleraea ramentacea,1
Strongylocentrotus pallidus,Turnerella pennyi,1
Strongylocentrotus pallidus,Desmarestia viridis,1
Strongylocentrotus pallidus,Haliclona,1
Strongylocentrotus pallidus,Styela rustica,1
Strongylocentrotus pallidus,Halocynthia pyriformis,1
Strongylocentrotus pallidus,Urticina eques,1
Strongylocentrotus pallidus,Hormathia nodosa,1
Strongylocentrotus pallidus,POM,1
Strongylocentrotus pallidus,Phytodetritus,1
Strongylocentrotus pallidus,Sediment,1
Strongylocentrotus droebachiensis,Fucus distichus,1
Strongylocentrotus droebachiensis,Pylaiella littoralis,1
Strongylocentrotus droebachiensis,Chordaria flagelliformis,1
Strongylocentrotus droebachiensis,Acrosiphonia,1
Strongylocentrotus droebachiensis,Alaria esculenta,1
Strongylocentrotus droebachiensis,Laminaria saccharina,1
Strongylocentrotus droebachiensis,Laminaria digitata,1
Strongylocentrotus droebachiensis,Saccorhiza dermatodea,1
Strongylocentrotus droebachiensis,Laminaria solidungula,1
Strongylocentrotus droebachiensis,Phycodrys rubens,1
Strongylocentrotus droebachiensis,Ptilta gunneri,1
Strongylocentrotus droebachiensis,Fimbrifolium dichotomum,1
Strongylocentrotus droebachiensis,Desmarestia aculeata,1
Strongylocentrotus droebachiensis,Palmaria palmata,1
Strongylocentrotus droebachiensis,Devaleraea ramentacea,1
Strongylocentrotus droebachiensis,Turnerella pennyi,1
Strongylocentrotus droebachiensis,Desmarestia viridis,1
Strongylocentrotus droebachiensis,Haliclona,1
Strongylocentrotus droebachiensis,Halocynthia pyriformis,1
Strongylocentrotus droebachiensis,Urticina eques,1
Strongylocentrotus droebachiensis,Hormathia nodosa,1
Strongylocentrotus droebachiensis,POM,1
Strongylocentrotus droebachiensis,Phytodetritus,1
Strongylocentrotus droebachiensis,Sediment,1
Crossaster papposus,Fucus distichus,1
Crossaster papposus,Laminaria saccharina,1
Crossaster papposus,Laminaria digitata,1
Crossaster papposus,Aglaophamus malmgreni,1
Crossaster papposus,Ampharete finmarchica,1
Crossaster papposus,Brada inhabilis,1
Crossaster papposus,Brada villosa,1
Crossaster papposus,Bylgides elegans,1
Crossaster papposus,Bylgides groenlandica,1
Crossaster papposus,Capitella capitata,1
Crossaster papposus,Chaetozone,1
Crossaster papposus,Chone,1
Crossaster papposus,Circeis,1
Crossaster papposus,Cossura longocirrata,1
Crossaster papposus,Diplocirrus hirsutus,1
Crossaster papposus,Eteone,1
Crossaster papposus,Euchone,1
Crossaster papposus,Gattyana cirrhosa,1
Crossaster papposus,Glycera capitata,1
Crossaster papposus,Harmothoe imbricata,1
Crossaster papposus,Heteromastus filiformis,1
Crossaster papposus,Leitoscoloplos mammosus,1
Crossaster papposus,Levinsenia gracilis,1
Crossaster papposus,Lumbrineris,1
Crossaster papposus,Lysippe labiata,1
Crossaster papposus,Nephtys ciliata,1
Crossaster papposus,Nereimyra punctata,1
Crossaster papposus,Nereis zonata,1
Crossaster papposus,Pholoe assimilis,1
Crossaster papposus,Phyllodoce,1
Crossaster papposus,Polydora,1
Crossaster papposus,Prionospio cirrifera,1
Crossaster papposus,Sabellides octocirrata,1
Crossaster papposus,Samytha sexcirrata,1
Crossaster papposus,Scoletoma fragilis,1
Crossaster papposus,Scoloplos armiger,1
Crossaster papposus,Spio,1
Crossaster papposus,Terebellides stroemi,1
Crossaster papposus,Thelepus cincinnatus,1
Crossaster papposus,Halicryptus spinulosus,1
Crossaster papposus,Priapulus caudatus,1
Crossaster papposus,Sipunculida,1
Crossaster papposus,Pycnogonida,1
Crossaster papposus,Chaetoderma,1
Crossaster papposus,Tonicella marmorea,1
Crossaster papposus,Tonicella rubra,1
Crossaster papposus,Axinopsida orbiculata,1
Crossaster papposus,Boreacola maltzani,1
Crossaster papposus,Ciliatocardium ciliatum,1
Crossaster papposus,Diplodonta torelli,1
Crossaster papposus,Ophiocten sericeum,1
Crossaster papposus,Ophiopholis aculeata,1
Crossaster papposus,Ophiura robusta,1
Crossaster papposus,Strongylocentrotus pallidus,1
Crossaster papposus,Strongylocentrotus droebachiensis,1
Crossaster papposus,Crossaster papposus,1
Crossaster papposus,Henricia,1
Crossaster papposus,Phytodetritus,1
Crossaster papposus,Sediment,1
Henricia,Fucus distichus,1
Henricia,Pylaiella littoralis,1
Henricia,Chordaria flagelliformis,1
Henricia,Acrosiphonia,1
Henricia,Alaria esculenta,1
Henricia,Laminaria saccharina,1
Henricia,Laminaria digitata,1
Henricia,Saccorhiza dermatodea,1
Henricia,Laminaria solidungula,1
Henricia,Phycodrys rubens,1
Henricia,Ptilta gunneri,1
Henricia,Fimbrifolium dichotomum,1
Henricia,Desmarestia aculeata,1
Henricia,Palmaria palmata,1
Henricia,Devaleraea ramentacea,1
Henricia,Turnerella pennyi,1
Henricia,Desmarestia viridis,1
Henricia,Phytodetritus,1
Henricia,Sediment,1
Styela rustica,POM,1
Styela rustica,Phytodetritus,1
Styela rustica,Sediment,1
Halocynthia pyriformis,POM,1
Halocynthia pyriformis,Phytodetritus,1
Halocynthia pyriformis,Sediment,1
Urticina eques,POM,1
Urticina eques,Phytodetritus,1
Urticina eques,Sediment,1
Hormathia nodosa,POM,1
Hormathia nodosa,Phytodetritus,1
Hormathia nodosa,Sediment,1
Sabinea septemcarinata,Calanus finnmarchicus,1
Sabinea septemcarinata,Calanus glacialis,1
Sabinea septemcarinata,Calanus hyperboreus,1
Sabinea septemcarinata,POM,1
Sclerocrangon boreas,Phaeocystis pouchetii,1
Sclerocrangon boreas,Chaetoceros socialis,1
Sclerocrangon boreas,Thalassiosira nordenskioeldii,1
Sclerocrangon boreas,Fragilariopsis,1
Sclerocrangon boreas,Protoperidinium,1
Sclerocrangon boreas,Gymnodinium,1
Sclerocrangon boreas,Dinobryon balticum,1
Sclerocrangon boreas,Thalassiosira antarctica,1
Sclerocrangon boreas,Cylindrotheca closterium,1
Sclerocrangon boreas,Chaetoceros,1
Sclerocrangon boreas,Coccolithus pleagicus,1
Sclerocrangon boreas,Globoquadriana pachyderma,1
Sclerocrangon boreas,Globigerinita bradyi,1
Sclerocrangon boreas,Globigerina quinqueloba,1
Sclerocrangon boreas,Nitzschia frigida,1
Sclerocrangon boreas,Pleurosigma stuxbergii,1
Sclerocrangon boreas,Navicula pelagica,1
Sclerocrangon boreas,Entomoneis,1
Sclerocrangon boreas,Cocconeis,1
Sclerocrangon boreas,Dinophysis acuta,1
Sclerocrangon boreas,POM,1
Boreogadus saida,Calanus finnmarchicus,1
Boreogadus saida,Onacea borealis,1
Boreogadus saida,Bradyidius similis,1
Boreogadus saida,Microcalanus pusillus,1
Boreogadus saida,Copepoda nauplii,1
Boreogadus saida,Metridia longa,1
Boreogadus saida,Metridia lucens,1
Boreogadus saida,Calanus glacialis,1
Boreogadus saida,Calanus hyperboreus,1
Boreogadus saida,Pseudocalanus,1
Boreogadus saida,Oithona similis,1
Boreogadus saida,Clione limacina,1
Boreogadus saida,Limacina helicina,1
Boreogadus saida,Gaidius tenuispinus,1
Boreogadus saida,Xanthocalanus,1
Boreogadus saida,Thysanoessa raschii,1
Boreogadus saida,Thysanoessa longicaudata,1
Boreogadus saida,Thysanoessa inermis,1
Boreogadus saida,Meganyctiphanes norvegica,1
Boreogadus saida,Boreogadus saida,1
Boreogadus saida,Reinhardtius hipoglossoides,1
Boreogadus saida,Sebastes mentella,1
Gadus morhua,Thysanoessa raschii,1
Gadus morhua,Thysanoessa longicaudata,1
Gadus morhua,Thysanoessa inermis,1
Gadus morhua,Themisto libellula,1
Gadus morhua,Themisto abyssorum,1
Gadus morhua,Boremysis arctica,1
Gadus morhua,Neoscolecithrix farrani,1
Gadus morhua,Mertensia ovum,1
Gadus morhua,Beroe cucumis,1
Gadus morhua,Meganyctiphanes norvegica,1
Gadus morhua,Boreomysis arctica,1
Gadus morhua,Ischyroceros,1
Gadus morhua,Gammarus setosus,1
Gadus morhua,Gammarellus homari,1
Gadus morhua,Onisimus littoralis,1
Gadus morhua,Anonyx nugax,1
Gadus morhua,Anonyx sarsi,1
Gadus morhua,Arrhis phyllonyx,1
Gadus morhua,Brachydiastylis resima,1
Gadus morhua,Caprella septentrionalis,1
Gadus morhua,Corophium crassicorne,1
Gadus morhua,Diastylis goodsiri,1
Gadus morhua,Diastylis lucifera,1
Gadus morhua,Diastylis rathkii,1
Gadus morhua,Eryhtrops erythropthalma,1
Gadus morhua,Eualus gaimardi,1
Gadus morhua,Halirages fulvocinctus,1
Gadus morhua,Hyas araneus,1
Gadus morhua,Ischyrocerus anguipes,1
Gadus morhua,Janira,1
Gadus morhua,Lamprops fuscatus,1
Gadus morhua,Lebbeus polaris,1
Gadus morhua,Melita dentata,1
Gadus morhua,Melita formosa,1
Gadus morhua,Melita palmata,1
Gadus morhua,Monoculodes borealis,1
Gadus morhua,Monoculodes longirostris,1
Gadus morhua,Munna,1
Gadus morhua,Munnopsis,1
Gadus morhua,Mysis oculata,1
Gadus morhua,Onisimus caricus,1
Gadus morhua,Onisimus edwardsi,1
Gadus morhua,Orchomenella minuta,1
Gadus morhua,Pagurus pubescens,1
Gadus morhua,Pandalus borealis,1
Gadus morhua,Parapleustes assimilis,1
Gadus morhua,Parapleustes bicuspis,1
Gadus morhua,Parapleustes monocuspis,1
Gadus morhua,Paroediceros lynceus,1
Gadus morhua,Pleustes panoplus,1
Gadus morhua,Pleusymtes glabroides,1
Gadus morhua,Pontoporeia femorata,1
Gadus morhua,Rhachotropis inflata,1
Gadus morhua,Spirontocaris spinus,1
Gadus morhua,Spirontocaris turgida,1
Gadus morhua,Stilomysis grandis,1
Gadus morhua,Syrrhoe crenulata,1
Gadus morhua,Tanaidacea,1
Gadus morhua,Unciola leucopis,1
Gadus morhua,Weyprechtia pinguis,1
Gadus morhua,Boreogadus saida,1
Gadus morhua,Gadus morhua,1
Gadus morhua,Reinhardtius hipoglossoides,1
Gadus morhua,Hipoglossoides platessoides,1
Gadus morhua,Lycodes,1
Gadus morhua,Sebastes mentella,1
Gadus morhua,Liparis liparis,1
Gadus morhua,Anisarchus medius,1
Gadus morhua,Lumpenus lampretaeformis,1
Gadus morhua,Leptagonus decagonus,1
Gadus morhua,Leptoclinus maculatus,1
Gadus morhua,Liparis fabricii,1
Gadus morhua,Artediellus europeus,1
Gadus morhua,Careproctus reinhardti,1
Gadus morhua,Sebastes marinus,1
Gadus morhua,Mallotus villosus,1
Gadus morhua,Eumicotremus derjugini,1
Gadus morhua,Raja clavata,1
Gadus morhua,Myoxocephalus scorpius,1
Gadus morhua,Anarhichas lupus,1
Gadus morhua,Gymnocanthus tricuspis,1
Reinhardtius hipoglossoides,Thysanoessa raschii,1
Reinhardtius hipoglossoides,Thysanoessa longicaudata,1
Reinhardtius hipoglossoides,Thysanoessa inermis,1
Reinhardtius hipoglossoides,Meganyctiphanes norvegica,1
Reinhardtius hipoglossoides,Lebbeus polaris,1
Reinhardtius hipoglossoides,Pandalus borealis,1
Reinhardtius hipoglossoides,Sabinea septemcarinata,1
Reinhardtius hipoglossoides,Sclerocrangon boreas,1
Reinhardtius hipoglossoides,Boreogadus saida,1
Reinhardtius hipoglossoides,Sebastes mentella,1
Hipoglossoides platessoides,Aglaophamus malmgreni,1
Hipoglossoides platessoides,Ampharete finmarchica,1
Hipoglossoides platessoides,Brada inhabilis,1
Hipoglossoides platessoides,Brada villosa,1
Hipoglossoides platessoides,Bylgides elegans,1
Hipoglossoides platessoides,Bylgides groenlandica,1
Hipoglossoides platessoides,Capitella capitata,1
Hipoglossoides platessoides,Chaetozone,1
Hipoglossoides platessoides,Chone,1
Hipoglossoides platessoides,Circeis,1
Hipoglossoides platessoides,Cossura longocirrata,1
Hipoglossoides platessoides,Diplocirrus hirsutus,1
Hipoglossoides platessoides,Eteone,1
Hipoglossoides platessoides,Euchone,1
Hipoglossoides platessoides,Gattyana cirrhosa,1
Hipoglossoides platessoides,Glycera capitata,1
Hipoglossoides platessoides,Harmothoe imbricata,1
Hipoglossoides platessoides,Heteromastus filiformis,1
Hipoglossoides platessoides,Leitoscoloplos mammosus,1
Hipoglossoides platessoides,Levinsenia gracilis,1
Hipoglossoides platessoides,Lumbrineris,1
Hipoglossoides platessoides,Lysippe labiata,1
Hipoglossoides platessoides,Nephtys ciliata,1
Hipoglossoides platessoides,Nereimyra punctata,1
Hipoglossoides platessoides,Nereis zonata,1
Hipoglossoides platessoides,Pholoe assimilis,1
Hipoglossoides platessoides,Phyllodoce,1
Hipoglossoides platessoides,Polydora,1
Hipoglossoides platessoides,Prionospio cirrifera,1
Hipoglossoides platessoides,Sabellides octocirrata,1
Hipoglossoides platessoides,Samytha sexcirrata,1
Hipoglossoides platessoides,Scoletoma fragilis,1
Hipoglossoides platessoides,Scoloplos armiger,1
Hipoglossoides platessoides,Spio,1
Hipoglossoides platessoides,Terebellides stroemi,1
Lycodes,Halirages fulvocinctus,1
Lycodes,Ischyrocerus anguipes,1
Lycodes,Janira,1
Lycodes,Lamprops fuscatus,1
Lycodes,Parapleustes bicuspis,1
Lycodes,Parapleustes monocuspis,1
Lycodes,Paroediceros lynceus,1
Lycodes,Pleustes panoplus,1
Lycodes,Pleusymtes glabroides,1
Lycodes,Pontoporeia femorata,1
Lycodes,Rhachotropis inflata,1
Lycodes,Spirontocaris spinus,1
Lycodes,Spirontocaris turgida,1
Lycodes,Stilomysis grandis,1
Lycodes,Syrrhoe crenulata,1
Lycodes,Tanaidacea,1
Lycodes,Unciola leucopis,1
Lycodes,Weyprechtia pinguis,1
Lycodes,Thelepus cincinnatus,1
Sebastes mentella,Thysanoessa raschii,1
Sebastes mentella,Thysanoessa longicaudata,1
Sebastes mentella,Thysanoessa inermis,1
Sebastes mentella,Meganyctiphanes norvegica,1
Sebastes mentella,Lebbeus polaris,1
Sebastes mentella,Pandalus borealis,1
Sebastes mentella,Sabinea septemcarinata,1
Sebastes mentella,Sclerocrangon boreas,1
Sebastes mentella,Boreogadus saida,1
Sebastes mentella,Reinhardtius hipoglossoides,1
Liparis liparis,Lebbeus polaris,1
Liparis liparis,Pandalus borealis,1
Liparis liparis,Aglaophamus malmgreni,1
Liparis liparis,Ampharete finmarchica,1
Liparis liparis,Brada inhabilis,1
Liparis liparis,Brada villosa,1
Liparis liparis,Bylgides elegans,1
Liparis liparis,Bylgides groenlandica,1
Liparis liparis,Capitella capitata,1
Liparis liparis,Chaetozone,1
Liparis liparis,Chone,1
Liparis liparis,Circeis,1
Liparis liparis,Cossura longocirrata,1
Liparis liparis,Diplocirrus hirsutus,1
Liparis liparis,Eteone,1
Liparis liparis,Euchone,1
Liparis liparis,Gattyana cirrhosa,1
Liparis liparis,Glycera capitata,1
Liparis liparis,Harmothoe imbricata,1
Liparis liparis,Heteromastus filiformis,1
Liparis liparis,Leitoscoloplos mammosus,1
Liparis liparis,Levinsenia gracilis,1
Liparis liparis,Lumbrineris,1
Liparis liparis,Lysippe labiata,1
Liparis liparis,Nephtys ciliata,1
Liparis liparis,Nereimyra punctata,1
Liparis liparis,Nereis zonata,1
Liparis liparis,Pholoe assimilis,1
Liparis liparis,Phyllodoce,1
Liparis liparis,Polydora,1
Liparis liparis,Prionospio cirrifera,1
Liparis liparis,Sabellides octocirrata,1
Liparis liparis,Samytha sexcirrata,1
Liparis liparis,Scoletoma fragilis,1
Liparis liparis,Scoloplos armiger,1
Liparis liparis,Spio,1
Liparis liparis,Terebellides stroemi,1
Liparis liparis,Thelepus cincinnatus,1
Liparis liparis,Sabinea septemcarinata,1
Liparis liparis,Sclerocrangon boreas,1
Anisarchus medius,Hyas araneus,1
Anisarchus medius,Buccinum scalariforme,1
Anisarchus medius,Buccinum terranovae,1
Anisarchus medius,Buccinum undatum,1
Anisarchus medius,Ophiocten sericeum,1
Anisarchus medius,Ophiopholis aculeata,1
Anisarchus medius,Ophiura robusta,1
Anisarchus medius,Strongylocentrotus pallidus,1
Anisarchus medius,Strongylocentrotus droebachiensis,1
Anisarchus medius,Crossaster papposus,1
Anisarchus medius,Henricia,1
Anisarchus medius,Liparis liparis,1
Anisarchus medius,Anisarchus medius,1
Anisarchus medius,Lumpenus lampretaeformis,1
Anisarchus medius,Leptagonus decagonus,1
Anisarchus medius,Leptoclinus maculatus,1
Anisarchus medius,Liparis fabricii,1
Anisarchus medius,Artediellus europeus,1
Anisarchus medius,Careproctus reinhardti,1
Anisarchus medius,Sebastes marinus,1
Anisarchus medius,Mallotus villosus,1
Anisarchus medius,Eumicotremus derjugini,1
Lumpenus lampretaeformis,Astarte borealis,1
Lumpenus lampretaeformis,Astarte montagui,1
Lumpenus lampretaeformis,Axinopsida orbiculata,1
Lumpenus lampretaeformis,Boreacola maltzani,1
Lumpenus lampretaeformis,Ciliatocardium ciliatum,1
Lumpenus lampretaeformis,Diplodonta torelli,1
Lumpenus lampretaeformis,Ennucula tenuis,1
Lumpenus lampretaeformis,Hiatella arctica,1
Lumpenus lampretaeformis,Liocyma fluctuosa,1
Lumpenus lampretaeformis,Lyonsia arenosa,1
Lumpenus lampretaeformis,Macoma calcarea,1
Lumpenus lampretaeformis,Macoma moesta,1
Lumpenus lampretaeformis,Musculus corrugatus,1
Lumpenus lampretaeformis,Musculus discors,1
Lumpenus lampretaeformis,Nuculana minuta,1
Lumpenus lampretaeformis,Nuculana pernula,1
Lumpenus lampretaeformis,Pandora glacialis,1
Lumpenus lampretaeformis,Serripes groenlandicus,1
Lumpenus lampretaeformis,Thracia myopsis,1
Lumpenus lampretaeformis,Thyasira dunbari,1
Lumpenus lampretaeformis,Thyasira gouldi,1
Lumpenus lampretaeformis,Yoldia hyperborea,1
Lumpenus lampretaeformis,Yoldiella frigida,1
Lumpenus lampretaeformis,Yoldiella lenticula,1
Lumpenus lampretaeformis,Yoldiella solidula,1
Lumpenus lampretaeformis,Ophiocten sericeum,1
Lumpenus lampretaeformis,Ophiopholis aculeata,1
Lumpenus lampretaeformis,Ophiura robusta,1
Leptagonus decagonus,Glycera capitata,1
Leptagonus decagonus,Harmothoe imbricata,1
Leptagonus decagonus,Heteromastus filiformis,1
Leptagonus decagonus,Leitoscoloplos mammosus,1
Leptagonus decagonus,Levinsenia gracilis,1
Leptagonus decagonus,Lumbrineris,1
Leptagonus decagonus,Lysippe labiata,1
Leptagonus decagonus,Nephtys ciliata,1
Leptagonus decagonus,Nereimyra punctata,1
Leptagonus decagonus,Nereis zonata,1
Leptagonus decagonus,Pholoe assimilis,1
Leptagonus decagonus,Phyllodoce,1
Leptagonus decagonus,Polydora,1
Leptoclinus maculatus,Lebbeus polaris,1
Leptoclinus maculatus,Pandalus borealis,1
Leptoclinus maculatus,Nephtys ciliata,1
Leptoclinus maculatus,Nereimyra punctata,1
Leptoclinus maculatus,Nereis zonata,1
Leptoclinus maculatus,Sabinea septemcarinata,1
Liparis fabricii,Lebbeus polaris,1
Liparis fabricii,Pandalus borealis,1
Liparis fabricii,Sabinea septemcarinata,1
Artediellus europeus,Thysanoessa raschii,1
Artediellus europeus,Thysanoessa longicaudata,1
Artediellus europeus,Thysanoessa inermis,1
Artediellus europeus,Meganyctiphanes norvegica,1
Careproctus reinhardti,Thysanoessa raschii,1
Careproctus reinhardti,Thysanoessa longicaudata,1
Sebastes marinus,Thysanoessa raschii,1
Sebastes marinus,Thysanoessa longicaudata,1
Sebastes marinus,Thysanoessa inermis,1
Sebastes marinus,Themisto libellula,1
Sebastes marinus,Themisto abyssorum,1
Sebastes marinus,Boremysis arctica,1
Sebastes marinus,Neoscolecithrix farrani,1
Sebastes marinus,Mertensia ovum,1
Sebastes marinus,Beroe cucumis,1
Sebastes marinus,Meganyctiphanes norvegica,1
Sebastes marinus,Boreomysis arctica,1
Mallotus villosus,Thysanoessa raschii,1
Mallotus villosus,Thysanoessa longicaudata,1
Mallotus villosus,Thysanoessa inermis,1
Mallotus villosus,Themisto libellula,1
Mallotus villosus,Themisto abyssorum,1
Mallotus villosus,Boremysis arctica,1
Mallotus villosus,Neoscolecithrix farrani,1
Mallotus villosus,Mertensia ovum,1
Mallotus villosus,Beroe cucumis,1
Mallotus villosus,Meganyctiphanes norvegica,1
Mallotus villosus,Lebbeus polaris,1
Eumicotremus derjugini,Pandalus borealis,1
Eumicotremus derjugini,Sabinea septemcarinata,1
Raja clavata,Fucus distichus,1
Raja clavata,Pylaiella littoralis,1
Raja clavata,Chordaria flagelliformis,1
Raja clavata,Acrosiphonia,1
Raja clavata,Alaria esculenta,1
Raja clavata,Laminaria saccharina,1
Raja clavata,Laminaria digitata,1
Raja clavata,Saccorhiza dermatodea,1
Raja clavata,Laminaria solidungula,1
Raja clavata,Phycodrys rubens,1
Raja clavata,Ptilta gunneri,1
Raja clavata,Fimbrifolium dichotomum,1
Raja clavata,Desmarestia aculeata,1
Raja clavata,Palmaria palmata,1
Raja clavata,Devaleraea ramentacea,1
Raja clavata,Turnerella pennyi,1
Raja clavata,Desmarestia viridis,1
Raja clavata,Lebbeus polaris,1
Raja clavata,Pandalus borealis,1
Raja clavata,Glycera capitata,1
Raja clavata,Harmothoe imbricata,1
Raja clavata,Heteromastus filiformis,1
Raja clavata,Leitoscoloplos mammosus,1
Raja clavata,Levinsenia gracilis,1
Raja clavata,Lumbrineris,1
Raja clavata,Lysippe labiata,1
Raja clavata,Nephtys ciliata,1
Raja clavata,Nereimyra punctata,1
Raja clavata,Nereis zonata,1
Raja clavata,Pholoe assimilis,1
Raja clavata,Phyllodoce,1
